id,status,created_by,created_on,modified_by,modified_on,order_num,territorycode,territorylevel,territoryname,territory_pinyin,territorysort,x_wgs84,y_wgs84,territoryparentid
1,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,100,1,全国,qg,0,106.258754,38.471318,0
10,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,16,2,河南省,HNS,0,113.687228,34.76819,1
100,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371300,3,临沂市,LYS,0,118.356448,35.104672,18
1000,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370903,4,岱岳区,DYQ,0,117.041582,36.18799,96
1001,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370921,4,宁阳县,NYX,0,116.805797,35.758787,96
1002,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370923,4,东平县,DPX,0,116.470304,35.937102,96
1003,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370982,4,新泰市,XTS,0,117.767953,35.909032,96
1004,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,370983,4,肥城市,FCS,0,116.768358,36.182571,96
1005,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371002,4,环翠区,HCQ,0,122.123444,37.501991,97
1006,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371081,4,文登市,WDS,0,122.058128,37.1939129,97
1007,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371082,4,荣成市,RCS,0,122.486676,37.165249,97
1008,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371083,4,乳山市,RSS,0,121.539764,36.919816,97
1009,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371102,4,东港区,DGQ,0,119.462228,35.425475,98
101,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371400,3,德州市,DZS,0,116.357465,37.434093,18
1010,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371103,4,岚山区,LSQ,0,119.318813,35.121816,98
1011,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371121,4,五莲县,WLX,0,119.208744,35.750095,98
1012,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371122,4,莒县,JX,0,118.837131,35.579868,98
1013,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371202,4,莱城区,LCQ,0,117.659864,36.203208,99
1014,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371203,4,钢城区,GCQ,0,117.811355,36.058572,99
1015,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371302,4,兰山区,LSQ,0,118.347707,35.051729,100
1016,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371311,4,罗庄区,LZQ,0,118.284786,34.996741,100
1017,0,arrym,2016-04-03 0:00,arrym,2016-04-03 0:00,1,371312,4,河东区,HDQ,0,118.402893,35.089917,100
